name,category,tier,inScope,inWindow,fundingType,status,geo,hq,founded,founders,totalRaised,rounds,differentiation,confidence,redFlags,url,sources
Aboda.ai,mixed,1-pureplay,True,False,undisclosed,active,US,United States (city not disclosed),~2024 (unconfirmed),Not publicly disclosed (no named founders found in Crunchbase/PitchBook/Tracxn snippets or company site),Undisclosed / none found,"No funding rounds publicly disclosed. No Crunchbase/PitchBook/Tracxn round data located; only the company website and secondary market-map snippets (SemiAnalysis, SignalFire) reference Aboda as an expert-data/RL-data vendor alongside Mercor, Surge and Handshake.","Uses an elite PhD/domain-expert workforce to generate, label and verify ultra-high-quality multimodal, step-by-step-reasoning ground-truth datasets and reward signals for frontier AI labs across STEM, finance, law and medicine.",low,"No public funding data — inWindow set false only because no round could be confirmed, not because none exists (could be stealth/undisclosed). Founders, HQ city and founding year all unconfirmed. Name collides with unrelated 'ABODA' (corporate housing), 'Abodu' (prefab homes) and 'Avoda' on Crunchbase; findings rely solely on company site + market-map mentions. In scope as an expert-data/RL-data-and-reward-signal foundry (tasks + verifiers), but positioning overlaps with generic data-labeling.",https://www.aboda.ai,https://www.aboda.ai/ ; https://newsletter.semianalysis.com/p/rl-environments-and-rl-for-science ; https://www.signalfire.com/blog/expert-data-is-new-fuel-for-ai-models ; https://pitchbook.com/profiles/company/1167909-85
Adaptive ML,verifiers,adjacent-infra,True,True,vc,active,USA/France,"New York, NY, USA and Paris, France",2023,"Julien Launay (CEO), Daniel Hesslow, Baptiste Pannier, Clément Delangue-adjacent team of ex-LightOn / Hugging Face researchers (co-founders per company materials: Julien Launay et al.)",$20M,"$20M seed (announced March 12, 2024) led by Index Ventures, with ICONIQ Capital, Motier Ventures, Databricks Ventures, IRIS, HuggingFund by Factorial and angels. Closed early 2024.","Adaptive Engine is an enterprise RLOps platform that fine-tunes, evaluates and serves open-source LLMs using RLHF/RLAIF, generating reward signals and continuously adapting models from user feedback.",high,"Primarily an RLOps / RL fine-tuning training-infrastructure platform (reward signals via RLHF/RLAIF), not a standalone env/task/verifier product — classified adjacent-infra. Reward-modeling component keeps it in scope but it is not a pureplay environments vendor. Founder list beyond CEO Julien Launay should be re-verified.",https://www.adaptive-ml.com,https://www.businesswire.com/news/home/20240312461522/en/ ; https://www.adaptive-ml.com/post/adaptive-raises-seed ; https://dataphoenix.info/adaptive-ml-secured-20m-in-seed-funding/
AgileRL,mixed,adjacent-infra,True,True,vc,active,United Kingdom,"London, UK",2023,"Param Kumar (CEO), Nicholas Ustaran-Anderegg (CTO)",~$7.5M,"Seed: £5.5M / ~$7.5M, announced Jan 7 2026, led by Fusion Fund, with Flying Fish, Octopus Ventures, Entrepreneur First, and Counterview Capital; brings total funding to $7.5M (EF-backed at inception 2023).","Open-source RL framework plus a managed full-stack RLOps product (Arena) that speeds up reinforcement learning ~10x with distributed training and environment validation across on/off-policy, offline, multi-agent, bandits and LLM integration.",high,"Primarily RLOps / RL training infrastructure (framework + managed platform), not a merchant catalog of environments/tasks/verifiers; environment validation is a feature rather than the core product, hence adjacent-infra. General-purpose RL (JPMorgan, Wayve, Huawei users), not exclusively LLM/agent training. Slight source discrepancy on round size (£5.5M seed vs $7.5M cumulative total).",https://agilerl.com/,https://www.finsmes.com/2026/01/agilerl-raises-7-5m-in-funding.html ; https://www.hpcwire.com/aiwire/2026/01/07/agilerl-emerges-with-7-5m-to-help-companies-speed-up-reinforcement-learning-by-10x/ ; https://www.uktechnews.info/2026/01/07/agilerl-secures-5-5-million-seed-investment-led-by-fusion-fund/ ; https://tracxn.com/d/companies/agilerl/__wjrLdgbMZnqqNO9RlXeOq-s-rnzwhAutxhw1bewLWw4
AIChamp,mixed,1-pureplay,True,False,bootstrapped,active,USA / remote (ambiguous),"San Francisco, CA, USA (CEO-based, unconfirmed; Tracxn alternatively lists Bali, Indonesia)",2024,Vol (Vlad) Goloshuk (CEO; previously founded BrightestMinds and HyperC),$0,No funding rounds reported. Tracxn and RL-list list total raised as $0; described as bootstrapped.,"Builds custom RL environments and 'Virtual Gym' simulations for training and evaluating tool-using agents on long-horizon enterprise tasks (agents operating in Slack, Notion, Linear), pairing engineered environments with vetted domain experts who design and grade tasks.",medium,"Bootstrapped/unfunded — no venture or accelerator round, so does not qualify for a 'VC-funded' inventory (inWindow false). HQ ambiguous (SF vs Bali per Tracxn); founded year not firmly documented. Company pivoted from a remote-talent/lead-gen background (BrightestMinds); no customers disclosed anywhere, and the 'alumni of OpenAI/xAI' claim on the vendor site is self-asserted and unverified. Small team (1-10).",https://aichamp.com/,https://www.rl-list.com/vendors/aichamp ; https://aichamp.com/ ; https://www.linkedin.com/in/goloshuk/ ; https://alignlist.com/guides/top-40-rl-environments-startups-and-companies
Alignerr (Labelbox),tasks,2-incumbent-line,True,True,vc,active,USA,"San Francisco, CA, USA",2023 (Alignerr line); Labelbox parent founded 2018,"Alignerr is a business line of Labelbox (co-founded by Manu Sharma and Brian Rieger, 2018); Alignerr launched ~2023-2024",~$189M (parent Labelbox); no standalone Alignerr raise,"Alignerr is not separately financed; it is funded through parent Labelbox. Labelbox raised ~$189M total incl. Series D $110M (Jan 2022, led by SoftBank Vision Fund 2) and earlier Series A/B/C from Andreessen Horowitz, B Capital, Gradient Ventures, Databricks Ventures, Kleiner Perkins. No standalone Alignerr round disclosed.","Positions itself as an on-demand marketplace of 2.6M+ vetted domain experts generating RLHF, complex-reasoning and multimodal reward signals for frontier AI labs.",high,"Not an independent company — it is Labelbox's frontier-data arm, so 'funding' belongs to parent Labelbox; Labelbox's own Series D (Jan 2022) falls in window but predates the Alignerr line, so attributing venture funding specifically to the RL-data product is imprecise.",https://alignerr.com,https://alignerr.com ; https://labelbox.com/ ; https://app.dealroom.co/companies/labelbox ; https://builtin.com/job/project-lead-alignerr-contract/6482424
Andon Labs,mixed,1-pureplay,True,True,vc,active,USA,"San Francisco, CA, USA",2023,"Lukas Petersson (CEO), Axel Backlund (CTO) — previously co-founded Vectorview",~$500K,"YC Winter 2024 batch (pivoted from Vectorview). ~$500K pre-seed/angel raised per PitchBook, with Breakpoint Capital, Juniper Ventures, Phosphor Capital, Superangel and Seldon Lab among investors.","Builds long-horizon agent benchmarks/environments (Vending-Bench, Butter-Bench, Blueprint-Bench) that measure agentic coherence and safety, and runs real-world autonomous AI businesses (Project Vend with Anthropic, Grokbox with xAI).",medium,"Funding (~$500K) from PitchBook/aggregators only; may reflect YC + angel rather than a priced round. Some outputs (benchmarks/evals) are evaluation-oriented; Vending-Bench functions as an RL/agent environment, so kept in scope. Verify whether a larger 2025-2026 round has since closed.",https://andonlabs.com,https://www.ycombinator.com/companies/andon-labs ; https://pitchbook.com/profiles/company/541549-09 ; https://andonlabs.com/ ; https://tooldirectory.ai/tools/andon-labs
Andromede,mixed,1-pureplay,True,True,vc,active,Europe (Switzerland/France),"Lausanne, Switzerland (French founder/French-market focus; sources conflict Switzerland vs France)",2025,"Guillaume Allegre (Founder & President), Alexandre Sallinen (co-founder, EPFL researcher, Meditron medical-LLM contributor)",Undisclosed,Backed by Unusual Ventures (seed-stage; round amount/date not publicly disclosed in aggregator snippets). In private beta as of mid-2026.,"RL data lab that programmatically generates environments, tasks, and verifiers from real-world data for post-training and evaluation of frontier agents, emphasizing long-horizon sequential-reasoning tasks.",medium,Round size/date not confirmed — only aggregator/snippet confirmation of Unusual Ventures backing; inWindow inferred from 2025 founding + VC backing. HQ ambiguous (Lausanne per PitchBook vs France per task hint). Name collides with 'Andromeda' robotics company (2022) and AndromedAI — disambiguated to the RL data lab.,https://andromede.ai,https://andromede.ai/ ; https://pitchbook.com/profiles/company/1158131-35 ; https://www.rl-list.com/ ; https://www.linkedin.com/in/guillaume-allegre/
Applied Compute,tasks,adjacent-infra,False,True,vc,active,USA,"San Francisco, CA, USA",2025,"Rhythm Garg, Linden Li, Yash Patil (all ex-OpenAI, Stanford)",~$160M,"Round 1: ~$80M (an initial ~$20M seed reportedly rolled into/preceded this) from Sequoia Capital, Benchmark, and Lux Capital at ~$500M valuation, ~Sept–Oct 2025. Round 2: $80M led by Kleiner Perkins at $1.3B post-money valuation, closed ~April 2026, with Elad Gil, Lux Capital, Greenoaks, NEO participating (first reported as 'in talks' Jan 2026). Total ~$160M.",Builds 'Specific Intelligence' — proprietary enterprise AI agents trained via RL on a company's own operations and data for continuous self-evolution.,high,"inScope=false: core product is a vertically-integrated enterprise RL AGENT (customer-facing 'Specific Intelligence'), not a saleable RL environment / task-dataset / verifier product. They do apply RL and build environments internally, but do not sell environments/verifiers to third parties, so it is a pure agent product per the scope rule. Classified adjacent-infra (RL training capability in the ecosystem). Exact round sequencing ($20M vs first $80M) is fuzzy across sources; totals reconcile to ~$160M.",https://appliedcompute.com,https://www.theinformation.com/articles/applied-compute-founded-ex-openai-researchers-talks-1-3-billion-valuation ; https://siliconangle.com/2025/10/30/former-openai-researchers-launch-applied-compute-80m-funding/ ; https://app.dealroom.co/news/feed/applied-compute-raises-80m-at-1-3b-valuation-to-build-enterprise-ai-agents ; https://www.upstartsmedia.com/p/ex-openai-applied-compute-raises-20m
Aviro,mixed,1-pureplay,True,True,vc,active,USA,"San Francisco, CA, USA",2025,"Aarush Kukreja, Ayush Karupakula",Undisclosed (YC-backed pre-seed; amount not public),"Pre-seed round (amount, lead investor, and valuation not disclosed), ~2025; backed by Y Combinator. Only aggregator/YC snippets found — no priced round size confirmed.","Builds RL environments and benchmarks (e.g. Enterprise Search Benchmark) for long-horizon tool use across ML research, live web, and enterprise knowledge work, partnering with frontier labs and Fortune 100 firms.",medium,"Also ships a commercial product 'Cortex' (an RL-based runtime/intelligence layer for enterprise agents), so part of the business is an agent product, not just env/verifier sales to labs — but the RL-environments + benchmark work for frontier labs keeps it in scope. Pre-seed amount/lead undisclosed; only aggregator + YC snippets. Do not confuse with 'AviaryAI' (different company).",https://www.aviro.ai,https://www.ycombinator.com/companies/aviro ; https://www.aviro.ai/ ; https://www.crunchbase.com/organization/aviro-ffed ; https://www.linkedin.com/posts/y-combinator_aviro-makes-enterprise-ai-agents-continuously-activity-7374457041781846016-TfT-
Axiom Math,verifiers,1-pureplay,True,True,vc,active,US,US (Bay Area / Menlo Park area),2025,"Carina Hong (CEO, Stanford dropout), Shubho Sengupta (ex-Meta FAIR); founding mathematician Ken Ono; team from Meta FAIR incl. Francois Charton, Aram Markosyan, Hugh Leather",$64M,"Seed: $64M at ~$300M valuation, Oct 2025, led by B Capital, with Greycroft, Madrona, and Menlo Ventures participating. Emerged from stealth Sep/Oct 2025. (Note: a '$200M Series A' appears in one low-quality aggregator snippet (tamradar) — treated as unverified/rumored, not counted.)","Builds a self-play 'conjecturer + prover' loop that generates and mechanically proves math problems, outputting machine-checkable Lean proofs (AxiomProver / AXLE) as verifiable rewards.",high,"Very new (founded 2025); one aggregator (tamradar) shows an unverified $200M Series A that conflicts with the confirmed $64M seed — likely erroneous/rumored, excluded. Like Harmonic, closer to a research-lab building a prover than a vendor selling environments/verifiers to third parties, but the verifiable-reward self-play tech places it in scope.",https://axiommath.ai,https://www.menlotimes.com/post/ai-startup-axiom-math-has-emerged-from-stealth-with-64-million-seed-funding-round ; https://techfundingnews.com/axiom-math-ai-mathematician-64m-seed/ ; https://www.forbes.com/sites/rashishrivastava/2025/09/30/meet-the-stanford-dropout-building-an-ai-to-solve-maths-hardest-problems-and-create-harder-ones/ ; https://cryptobriefing.com/axiom-math-ai-proofs-peer-reviewed/
