fitScore,name,over500,headcount,headcountRange,headcountConfidence,founded,stage,fundingRaised,investors,hq,remotePolicy,vertical,notability,oneLiner,whatTheyDo,roleFit,profileLeverage,codingLightness,tractionHealth,fitRationale,redFlags,sources
42.5,OpenEvidence,False,130,~119-150 (Tracxn ~119 as of May 2026; other trackers 60-150). Well under 500 despite $12B valuation,medium,2022,Series D,~$700M total (Jan 2026 $250M Series D at $12B valuation; Oct 2025 $200M Series C at $6B),"Sequoia Capital, Kleiner Perkins, GV (Google Ventures), Coatue, Thrive Capital, Blackstone","Cambridge, MA / Miami, FL (sources vary)",Hybrid at HQ; Senior PM Consumer AI role listed Remote,Healthcare AI / clinical decision support for physicians,well-known,The 'ChatGPT for doctors' — an AI clinical decision-support and medical-evidence search engine used by ~40% of U.S. physicians.,"OpenEvidence delivers AI-generated, citation-backed answers to clinical questions grounded in peer-reviewed medical literature, serving ~20M clinical consultations per month. Its users are practicing physicians and clinicians; it monetizes via a fast-growing, high-margin platform (>$100M ARR).",5,5,5,5,"Both open roles fit this candidate cleanly: the Client Success Manager maps to program/delivery/ops management, and the Senior PM Consumer AI (Remote) rewards product research, B2B/D2C customer discovery with physicians, and strong domain writing — with medical-answer quality evaluation directly leveraging the candidate's rubric/eval-design skill. Neither requires shipping production code.",Hyper-growth and lean headcount mean high bar and intense pace; healthcare/clinical domain fluency may be an advantage others hold.,https://news.crunchbase.com/venture/openevidence-ai-doctors-doubles-valuation-seriesd/ ; https://www.cnbc.com/2026/01/21/openevidence-chatgpt-for-doctors-doubles-valuation-to-12-billion.html ; https://tracxn.com/d/companies/openevidence/__bEDUDh0-_ZXcG4j_siS3Wy4Feg6wbJzz7p9PcC6aIQk ; https://en.wikipedia.org/wiki/OpenEvidence ; https://www.forbes.com/sites/amyfeldman/2025/07/15/this-ai-founder-became-a-billionaire-by-building-chatgpt-for-doctors/ ; https://sacra.com/c/openevidence/
42.25,Amigo,False,35,"~25-50 (est.; recently-closed Series A stage, LinkedIn shows a small team; no exact public count)",low,2023,Series A,~$17M total ($6.3M seed 2024 co-led by General Catalyst & GSV Ventures; $11M Series A March 2026 led by Madrona),"Madrona Venture Group, Optum Ventures, General Catalyst, GSV Ventures, Coho Deeptech, Comma Capital","New York, NY",The listed AI Deployment Strategist role is NYC/onsite; company is NYC-centered,Healthcare (clinical patient-facing AI agents),somewhat-known,"Builds and trains clinical AI agents that handle patient intake, triage, and 24/7 care navigation for healthcare organizations.","Amigo partners with health systems and practices to build 'digital residency' clinical AI agents that train across millions of simulated patient scenarios before going live, handling intake/triage, care navigation, and post-visit support in 100+ languages with native Epic/Oracle Health/Athenahealth integration. Buyers are healthcare provider organizations; each monthly-fee deployment ships with a two-person team (an agent engineer plus a deployment strategist).",5,5,5,4,"The AI Deployment Strategist role is explicitly the non-engineering half of Amigo's deployment pair (paired with a separate agent engineer), centered on customer discovery, mapping clinical workflows, quality/safety framing, and domain-heavy delivery — a near-perfect match for a PM/research/ops profile that doesn't ship code. Well-funded and growing, so traction is healthy.","Geography: the open role is NYC/onsite, but the candidate wants SF Bay onsite or fully remote — direct location mismatch. Headcount is an estimate (no reliable public figure); confidence low, but clearly well under 500.",https://www.alleywatch.com/2026/03/amigo-ai-clinical-agents-ai-healthcare-agents-patient-engagement-platform-ali-khokhar/ ; https://www.businesswire.com/news/home/20260310898882/en/Amigo-AI-Raises-$11M-Series-A-to-Train-Clinical-AI-Agents-Like-Doctors ; https://www.crunchbase.com/organization/amigo-ai ; https://www.axios.com/pro/health-tech-deals/2026/03/10/exclusive-amigo-ai-raises-11m-for-health-care-ai ; https://www.linkedin.com/company/youramigo-ai ; https://www.amigo.ai/blog/healthcare-ai-guy
42.25,Forerunner,False,80,"~50-100 (Tracxn ~101 / PitchBook ~98 as of Mar 2026, likely blended with similarly named entities; Series B-stage govtech typically 50-100)",medium,2019,Series B,"$39M total ($12.7M Series A led by Union Square Ventures; $26.3M Series B led by Wellington Management, Feb 2026)","Union Square Ventures, Wellington Management, SE Ventures, Citi Impact Fund, Gutter Capital, Bright Ventures","New York, NY (some profiles list San Francisco; CEO JT White)",Remote (Deployment Strategist role listed as Remote),GovTech / geospatial intelligence / climate resilience & flood-risk management for local governments and regulated industries,somewhat-known,"AI-powered geospatial intelligence layer that modernizes how local governments manage flood risk, resilience, and the built environment.","Forerunner unifies geospatial data, field operations, and AI workflows into a system of record for the built environment, helping agencies manage floodplains, resilience programs, and regulatory workflows. It is trusted by 180+ government agencies across 26 states (e.g., California DWR, Florida and Mississippi emergency management).",5,5,5,4,"This is a near-ideal match: a remote Deployment Strategist rolling out software to government agencies demands exactly the candidate's B2B/B2G customer discovery, program/operations management, qualitative synthesis of messy stakeholder signal, domain writing, and quality-framework skills, with no production coding required.",Smaller total funding ($39M) and slower public-sector (B2G) sales/deployment cycles; distinguish from unrelated 'Forerunner Ventures' (consumer VC) and 'Forerunner AI' (aerospace YC Slackbot).,https://www.withforerunner.com/ ; https://www.withforerunner.com/post/forerunner-has-raised-39-million-in-total-funding-to-accelerate-its-mission-of-modernizing-government-operations ; https://www.govtech.com/biz/geospatial-tech-firm-forerunner-raises-39m-expands-focus ; https://www.crunchbase.com/organization/forerunner-0de4 ; https://pitchbook.com/profiles/company/442406-08 ; https://tracxn.com/d/companies/forerunner/__-IZD5a13jVTN6GjFdgFjU8xLisxPPIhFNNN6ovCtfqU
41.75,Auctor,False,25,~15-25 (LinkedIn/Crunchbase snapshots; recently hiring ~5 roles),medium,2025,Series A,$20M total (Series A led by Sequoia Capital),"Sequoia Capital (lead), M12 (Microsoft's Venture Fund), HubSpot Ventures, Workday Ventures, OneStream, Tercera, Dig Ventures, Y Combinator (X25)","New York, NY",NYC office plus remote roles; both Product Operations Manager and Product Manager postings are explicitly Remote,Enterprise software implementation / professional services automation (agentic OS for system integrators),somewhat-known,AI 'system of action' that automates enterprise software implementations and the work of forward-deployed/solution engineers.,"Auctor's AI agents run enterprise software implementations by capturing requirements, generating artifacts (SoWs, proposals, architecture docs, user stories) and syncing them across tools, targeting the $400B+ services/implementation market. Buyers are system integrators, professional-services teams, and enterprise software vendors' onboarding/deployment orgs.",5,5,4,5,"Near-ideal: the Deployment Strategist and Founding Product Operations Manager roles are exactly customer-discovery, workflow synthesis, delivery/program management and quality-framework work, and the product itself is about codifying 'what good implementation looks like' (rubric-adjacent). Deployment/Product-Ops roles need almost no production coding; Sequoia-backed with reported 70%+ MoM ARR growth makes traction strong.","Very young (founded 2025) and tiny, so roles are high-ambiguity/high-intensity founding roles; PM role may want some technical fluency but not daily coding.",https://www.ycombinator.com/companies/auctor ; https://www.getauctor.com/careers ; https://www.unite.ai/auctor-raises-20m-series-a-to-reinvent-enterprise-software-implementations-with-ai/ ; https://finance.yahoo.com/news/auctor-raises-20m-led-sequoia-130000020.html ; https://www.forbes.com/sites/davidprosser/2026/04/15/meet-the-start-up-promising-to-end-costly-it-project-failures/ ; https://jobs.ashbyhq.com/auctor/048caf77-1ca5-4193-9fa7-2af9b7f1889f ; https://pitchbook.com/profiles/company/803110-60
41.75,Axion (formerly Axion Ray),False,320,"~300-350 (LeadIQ 341 Sep 2025, ~357 Oct 2025; third-party trackers may over-count for a Series B)",medium,2021,Series B,~$54.5M total: $37M Series B (Dec 2025) + $17.5M Series A (Mar 2024),"Salesforce Ventures (B lead), Bessemer Venture Partners (A lead), Schneider Electric Ventures, RTX Ventures, Boeing / Aerospace Xelerated","New York, NY","NY-based; AI Deployment Strategist posted for 'Multiple' locations — customer-facing delivery role, likely hybrid/onsite with travel to manufacturing customers",Industrial / manufacturing quality intelligence AI,somewhat-known,"AI-powered customer & product quality intelligence platform for manufacturers, with human experts in the loop.","Axion unifies quality and post-market data and pairs domain-specialized AI with human-in-the-loop problem-solving so manufacturers can detect, investigate, and resolve product-quality issues proactively. Buyers are quality/engineering orgs at aerospace, defense, automotive, medtech, consumer electronics, and data-center manufacturers.",5,5,4,5,"The 'AI Deployment Strategist' on the Solutions/Delivery team is exactly a non-SWE deployment/PM role: drive adoption, delivery, and customer outcomes — leaning on customer discovery, ops/program management, and domain synthesis. Axion explicitly builds around domain expertise and human-in-the-loop quality workflows (rubric/quality-framework design is core), which maps tightly to this candidate's strengths.",Headcount already ~300+ so growth room to 500 is limited; role likely expects travel/onsite with industrial customers rather than fully remote. Confirm exact location before assuming remote.,https://www.axion.com/careers ; https://jobs.ashbyhq.com/axion/eb36f880-7280-4d8f-92a9-f84e39cf9946 ; https://www.axion.com/news/axion-raises-37m-series-b-to-power-the-future-of-american-manufacturing ; https://www.builtinnyc.com/articles/axion-raises-37m-series-b-to-advance-ai-platform-20251217 ; https://leadiq.com/c/axion-ray/6137ae394f9095de4c2c5a68 ; https://salesforceventures.com/perspectives/welcome-axion-2/
41.75,Forge (rebranded Poetic),False,30,"11-50 (Crunchbase 2026); was ~4 people in 2025, now scaling post-Series A",medium,2023,Series A,$50M Series A at ~$500M valuation (exited stealth 2026),"Kleiner Perkins (lead), Founders Fund, First Harmonic, OpenAI","San Francisco, CA",Forward Deployed Strategist role listed as Remote; company SF-based,Enterprise process automation / reliable AI agents (horizontal),somewhat-known,Automates the most complex enterprise workflows via a proprietary 'English programming language' that blends control flow with natural-language instructions.,"Forge/Poetic lets operations teams describe multi-hour, high-stakes processes in natural language, then runs them thousands of times a day at claimed 98-99% accuracy across Fortune 500 customers. Buyers are large-enterprise operations teams automating processes that traditional RPA and autonomous agents have failed to handle reliably.",5,5,4,5,"The Forward Deployed Strategist role is customer-facing ownership of strategic enterprise accounts (adoption, expansion, operating under ambiguity) — a near-perfect match for a PM/customer-discovery/ops profile; authoring workflows in an English-based DSL is config/low-code, not production engineering, and the company's 98%+ 'quality' framing rewards rubric/evaluation thinking.","Company recently rebranded Forge -> Poetic, so the 'Forge' job posting may reflect older branding; still very small (headcount estimate uncertain), and FDS at automation firms can drift toward technical workflow-authoring.",https://jobs.ashbyhq.com/forge/c1724ef7-8f2b-40f1-8db6-965104cf8815 ; https://www.prnewswire.com/news-releases/poetic-raises-50m-series-a-to-automate-the-worlds-most-complex-enterprise-processes-with-reliable-ai-302796939.html ; https://techfundingnews.com/poetic-lands-50m-from-kleiner-perkins-and-openai-to-run-the-enterprise-work-ai-agents-keep-getting-wrong/ ; https://www.crunchbase.com/organization/poetictechnologies ; https://www.kleinerperkins.com/perspectives/poetic-turning-enterprise-procedures-into-evolving-software/
41.75,Lorikeet,False,89,"~89 (Tracxn, Apr 2026)",high,2023,Series A,~$58M total ($5M seed + $7.3M + $35M Series A; ~$75M reported across rounds in some sources),"QED Investors (led Series A), Blackbird, Square Peg, Skip Capital, Airtree, Capital49, Operator Partners, Athletic Ventures; angels incl. Claire Hughes Johnson and Cristina Cordova","Sydney, Australia + San Francisco (globally distributed / remote)","Globally distributed remote team with Australian roots; Forward Deployed PM posted as remote (US-eligible), offices in Sydney and SF","AI customer support / CX automation for complex, regulated businesses (fintech, healthtech, marketplaces, delivery)",somewhat-known,"AI customer concierge that resolves complex, high-stakes support for fintechs, healthtechs, and marketplaces.","Lorikeet builds an AI customer support agent designed to handle complex, high-volume, high-consequence support cases (not just simple chatbot FAQs) for regulated and complex businesses. It sells to CX teams at fintechs, healthtechs, marketplaces, and delivery services, positioning against generic chatbots on quality and reliability.",5,5,4,5,"The Forward Deployed Product Manager role is built to establish post-sales strategy: acting as a trusted AI advisor to enterprise customers, translating AI capability into business ROI, and designing onboarding frameworks and success metrics — directly rewarding the candidate's customer discovery, qualitative synthesis, program/ops management, strong writing, and rubric/quality-framework design. It's a PM/deployment role, not engineering, and fully remote-friendly, making it one of the cleanest fits for this profile.","None major; role is senior/function-building so expects someone comfortable operating with ambiguity, and CX/support-domain familiarity is a plus. Australian-rooted timezone culture worth noting for a US-remote hire.",https://www.crunchbase.com/organization/lorikeet ; https://www.prnewswire.com/news-releases/lorikeet-raises-35-million-usd-series-a-to-deliver-ai-powered-universal-customer-concierges-able-to-solve-real-challenges-not-just-chatbots-302522821.html ; https://www.startupdaily.net/topic/funding/ai-customer-support-startup-lorikeet-has-now-raised-75-million-in-just-10-months/ ; https://tracxn.com/d/companies/lorikeet/__nL-evBuZAiy5mtzAmPA8ChclyJkZbj4OMjP2rh4GxMs ; https://jobs.ashbyhq.com/lorikeet/86236bbe-2a1a-4f2a-8f33-4d2a697dc19d ; https://www.lorikeetcx.ai/careers
41.0,Fractional AI,False,82,"~44-200: PitchBook 82, LinkedIn 51-200, another source ~44",medium,2024,Acquired (May 2026) — now the delivery centerpiece of a new Anthropic/Blackstone-backed services firm,"Acquired for undisclosed terms; parent venture capitalized with $1.5B (Anthropic, Blackstone, Hellman & Friedman $300M each; Goldman Sachs $150M)","Anthropic, Blackstone, Hellman & Friedman, Goldman Sachs (via acquiring firm); earlier applied-AI services company","San Francisco, CA",Roles based SF / NY; hybrid,Applied AI / forward-deployed AI engineering services for mid-to-large enterprises,well-known,Engineering-first applied-AI services firm that embeds forward-deployed teams to move enterprise generative-AI from prototype to production.,Fractional AI builds bespoke generative-AI systems and provides fractional AI engineering teams to enterprises and PE-backed businesses lacking in-house talent. In May 2026 it was acquired to serve as the founding operational core of a new Anthropic/Blackstone/Hellman & Friedman-backed enterprise AI services company deploying Claude across mid-sized businesses.,5,5,4,5,"The Forward Deployed Product Manager / Associate FDPM roles are explicitly PM/deployment positions — customer discovery, delivery, program coordination, translating messy enterprise requirements — matching the candidate's B2B discovery, ops, and quality-framework strengths without requiring daily production code.","Company is 'engineering-first' and prizes 'engineering excellence,' so the technical bar for even PM roles may be high; also mid-integration into a large services firm, which brings culture/scale-change risk (parent org could eventually exceed 500, though Fractional AI itself is well under).",https://www.fractional.ai/careers ; https://www.blackstone.com/news/press/the-ai-native-enterprise-services-firm-backed-by-anthropic-blackstone-and-hellman-friedman-announces-acquisition-of-fractional-ai/ ; https://siliconangle.com/2026/05/21/new-anthropic-blackstone-backed-ai-services-firm-acquires-fractional-ai/ ; https://pitchbook.com/profiles/company/635126-05 ; https://www.linkedin.com/company/fractional-ai
40.75,FERMAT (FERMÀT Commerce),False,70,~50-90 (Startup Intros 11-50 as of Apr 2026; Growjo/others higher post-Series B hiring). Small.,medium,2021,Series B,"$74M total — $12M seed, $17M Series A, $45M Series B (June 2025, led by VMG Partners)","VMG Partners, Greylock, Bain Capital Ventures, QED Investors, Courtside Ventures","San Francisco, CA",Distributed/remote-friendly; FDPM role listed as multiple/hybrid locations,AI-native commerce / D2C e-commerce conversion platform,somewhat-known,"AI-native commerce platform letting D2C brands build personalized, dynamic post-click shopping and landing experiences.","FERMÀT lets D2C brands embed personalized, testable shopping experiences (landing pages, funnels) directly into ad and content journeys to lift conversion. 100+ brands including GNC, Away, Backcountry, and Scotts Miracle-Gro use it.",5,5,4,4,"A Forward Deployed Product Manager role is nearly ideal for this candidate: heavy B2B/D2C customer discovery, embedding with brand customers, synthesizing messy qualitative signal, and delivery/program ownership — with technical-adjacent config rather than daily production code. Small, well-funded Series B with real logos.",FDPM roles can carry a quota/customer-success edge and some light technical implementation (funnel config); confirm it isn't SWE-coded. Headcount data is noisy across sources but clearly well under 500.,https://www.prnewswire.com/news-releases/fermat-raises-45m-series-b-to-define-the-future-of-ai-powered-commerce-experiences-302478623.html ; https://www.crunchbase.com/organization/fermat-commerce ; https://tracxn.com/d/companies/fermat/__1BcGzTWXRYHEs3xpmoxiDaiCIHSFqaxmg5ZqTh_fCu8 ; https://www.fermatcommerce.com/about
40.75,Percepta,False,30,"~20-50 (launch team of 20+ engineers, product leaders, researchers per General Catalyst; Tracxn/PitchBook still nascent)",medium,"2025 (publicly launched Oct 1, 2025)",Backed/incubated (General Catalyst Transformation Company; not a standard VC-funded startup),No independent priced round disclosed; fully owned and funded by General Catalyst (GC's ~$8B Fund XII includes a creation/transformation allocation),"General Catalyst (sole owner/parent); strategic partners Anthropic, McKinsey, AWS",New York City,Primarily NYC onsite/hybrid (also a European location); heavily forward-deployed at enterprise customer sites,"Applied AI / enterprise AI transformation (healthcare, manufacturing, energy, financial services, government)",somewhat-known,General Catalyst's in-house company that deploys forward teams to reinvent critical institutions with applied/agentic AI.,"Percepta embeds teams of engineers, product managers, and researchers directly inside large enterprises to design and ship AI-native transformations, backed by an in-house agentic toolkit called Mosaic. Buyers are executives at healthcare, manufacturing, energy, financial-services, and government institutions who need someone to translate AI ambition into real, delivered workflows.",5,5,4,4,"This is an unusually clean match: the open roles (Chief of Staff, Embedded Product Manager, Research Product Manager, Embedded Researcher) are exactly the PM + customer-discovery + qualitative-research + program-ops + domain-writing profile, and forward-deployed work rewards synthesizing messy qualitative signal from enterprise stakeholders. The main friction is geography, not role.","All four roles are NYC onsite/hybrid, which conflicts with the candidate's SF Bay onsite / fully-remote preference. Also very new (launched Oct 2025) and eng/research-heavy culture, so PM roles sit close to technical work; being a GC-owned entity rather than an independent venture makes long-term autonomy/exit path different from a normal startup.",https://www.percepta.ai/ ; https://www.percepta.ai/careers ; https://www.generalcatalyst.com/stories/unveiling-percepta ; https://www.mobihealthnews.com/news/general-catalyst-launches-percepta-ai-modernization-across-enterprises ; https://jobs.ashbyhq.com/percepta/a97cd0f6-a1e7-4f6c-8d01-1f11d33a6ed1 ; https://tracxn.com/d/companies/percepta/
