company,remoteStatus,confidence,headcount,over500,remoteRoleCount,remoteRoleTitles,workModelMix,vertical,exampleUrl,note
Abridge,No (onsite/hybrid),verified,605,Y,0,,rem0/hyb1/ons0/unk0,Healthcare AI / clinical documentation (ambient clinical intelligence),https://www.startuphub.ai/jobs/abridge/founding-forward-deployed-product-manager-18ee3c,Role listed as SF/hybrid; company is distributed with multiple US locations
ActiveCampaign,Yes,from-role-data,,,1,Principal Product Manager,rem1/hyb0/ons0/unk0,,https://jobs.lever.co/activecampaign/232f468d-13ee-43f0-ab5b-88cc750cf64a,
AfterQuery,No (onsite/hybrid),verified,30,N,0,,rem0/hyb0/ons0/unk1,AI training data / applied research lab (expert reasoning datasets and evals for frontier foundation-model labs),https://jobs.ashbyhq.com/AfterQuery/77022ff0-8e15-46e2-b94f-905d31ca1e8c,"Core hiring roles mostly onsite in SF; Strategic Projects Lead listed as Multiple/onsite-leaning, with a large remote 'Experts' contributor network separate from HQ staff"
Airtable,Yes,from-role-data,,,1,"Program Manager, AI Programs",rem1/hyb0/ons0/unk0,,https://job-boards.greenhouse.io/airtable/jobs/8382158002,
Amigo,No (onsite/hybrid),verified,35,N,0,,rem0/hyb0/ons1/unk0,Healthcare (clinical patient-facing AI agents),https://jobs.ashbyhq.com/amigo/76e320d4-ca24-4778-b503-cfc0505a5b00,The listed AI Deployment Strategist role is NYC/onsite; company is NYC-centered
Anthropic,Maybe (hybrid),from-role-data,,,0,,rem0/hyb5/ons0/unk5,,https://job-boards.greenhouse.io/anthropic/jobs/4985877008,
Arize AI,Yes,from-role-data,,,2,"Forward Deployed Engineer, US; Partner Product & Solutions Lead",rem2/hyb1/ons0/unk0,,https://job-boards.greenhouse.io/arizeai/jobs/5978967004,
Ascertain,Yes,verified,28,N,1,Forward Deployed Engineer,rem1/hyb0/ons0/unk0,Healthcare (agentic AI for administrative/back-office automation),https://jobs.ashbyhq.com/ascertain/d7dbc66f-2c0b-4ee0-9b92-305a243994bb,Remote-friendly; hybrid supported for NYC-based staff; the FDE role is posted as Remote
Auctor,Yes,verified,25,N,0,,rem0/hyb0/ons0/unk3,Enterprise software implementation / professional services automation (agentic OS for system integrators),https://jobs.ashbyhq.com/auctor/048caf77-1ca5-4193-9fa7-2af9b7f1889f,NYC office plus remote roles; both Product Operations Manager and Product Manager postings are explicitly Remote
Augment,Yes,verified-live,,,1,Product Manager (Remote),rem0/hyb0/ons0/unk1,,https://jobs.ashbyhq.com/go-augment/af1f6c48-0e5f-4198-9c5f-fad4786a7246,Target PM role posted REMOTE ($174-220k); Voice PM & Sr AE also remote
Axion,No (onsite/hybrid),verified,,,0,,rem0/hyb0/ons0/unk1,,https://jobs.ashbyhq.com/axion/eb36f880-7280-4d8f-92a9-f84e39cf9946,
BCG X,Maybe (hybrid),from-role-data,,,0,,rem0/hyb3/ons0/unk0,,https://careers.bcg.com/global/en/job/56768/-Associate-Senior-AI-Product-Manager-Owner-Salesforce-United-States-BCG-X,
