company,title,titleFamily,location,workModel,primaryCity,seniority,comp,confidence,fitNote,url
Percepta,Embedded Product Manager,product,New York City,onsite,New York,Mid-Senior,,likely-live,Forward-deployed PM shaping AI transformation strategy embedded with eng/research teams at critical institutions; domain expertise valued (healthcare/supply chain/energy/finance).,https://jobs.ashbyhq.com/percepta/8059a187-91f9-43a4-b85f-5253d8e3fc8e
Percepta,Embedded Product Manager - Healthcare,product,New York City,onsite,New York,Mid-Senior,,likely-live,Same embedded-PM role with healthcare domain focus; strong match for domain-expertise + customer-discovery profile.,https://jobs.ashbyhq.com/percepta/8636f698-e5d2-460d-89ca-9445680e51a7
Percepta,Research Product Manager,product,New York City (likely),onsite,New York,Mid-Senior,,likely-live,Product + research hybrid; directly aligns with product-research/qualitative-intelligence background.,https://jobs.ashbyhq.com/percepta/a09181be-afdc-47e8-8a92-4478bbf9464a
Sierra,"Product Manager, Agent Development - Flagship Deployment",forward-deployed,San Francisco,onsite,San Francisco,Mid-Senior,,likely-live,PM tied to flagship customer deployments — blends product with forward-deployed delivery work; strong fit.,https://jobs.ashbyhq.com/Sierra/758beaca-db59-4e46-9867-7a93989735a7
Sierra,"Product Manager, Agent Development",product,San Francisco,onsite,San Francisco,Mid-Senior,,likely-live,Core PM on the agent-building product; customer-facing agent experience work.,https://jobs.ashbyhq.com/Sierra/effd7cd2-8a28-4bae-a3b8-40720ba09717
Sierra,"Strategist, Agent Development",forward-deployed,San Francisco,onsite,San Francisco,Mid-Senior,,likely-live,"Deployment-strategist style role bridging customers and agent development; light-coding, customer-workflow heavy.",https://jobs.ashbyhq.com/sierra/c25ca18c-dbe6-439d-9a40-ce23b40c323c
Sierra,"Technical Program Manager, Agent Development",delivery-program,San Francisco,onsite,San Francisco,Mid-Senior,,likely-live,Program-management fit for delivery/ops background coordinating agent development.,https://jobs.ashbyhq.com/Sierra/548eccd8-85c7-4cfa-a145-1c6ba5c17dc2
Sierra,"Product Manager, Agent Data Platform",product,San Francisco,onsite,San Francisco,Mid-Senior,,likely-live,Platform/data PM — more technical surface; matches PM family but less customer-discovery.,https://jobs.ashbyhq.com/Sierra/422cb7bb-ab03-447b-808c-6d72f59bbd2f
Sierra,"Product Manager, Ghostwriter",product,San Francisco,onsite,San Francisco,Mid-Senior,,likely-live,"PM on a specific product surface; posted ~Apr 2026, likely still open.",https://jobs.ashbyhq.com/sierra/22ba107d-de01-4aa3-98fc-838cccad760c
Sierra,Agent Engineer,forward-deployed,San Francisco / New York,onsite,Multiple,Mid-Senior,,likely-live,Flagship forward-deployed role (customer ops + agent building) but requires hands-on coding/systems integration — caution given non-heavy-SWE profile.,https://jobs.ashbyhq.com/Sierra/76617113-a408-40ec-9c77-aa1174454a37
Decagon,Senior Agent Product Manager,forward-deployed,San Francisco,onsite,San Francisco,Senior,$200K-$285K,likely-live,"Owns delivery, adoption and expansion of AI deployments; partners with FDEs and strategy managers — excellent forward-deployed PM fit.",https://jobs.ashbyhq.com/decagon/dcf9b561-f2fb-422b-88a9-33ce76e96608
Decagon,Agent Strategy Manager,delivery-program,San Francisco (likely),onsite,San Francisco,Mid-Senior,,likely-live,"Guides customer deployments/adoption, works cross-functionally with product/eng; relationship + hands-on execution, light coding — strong fit.",https://jobs.ashbyhq.com/decagon/f45c6d16-7a06-4a3f-ade7-c915698aba75
Decagon,Product Manager,product,San Francisco,onsite,San Francisco,Mid-Senior,,likely-live,Shapes roadmap and AI features with eng and sales; core PM fit.,https://jobs.ashbyhq.com/decagon/d790a2a2-958d-4f49-96ed-adbd68d2e6ce
Decagon,Senior Solutions Engineer,forward-deployed,San Francisco / New York,onsite,Multiple,Senior,,likely-live,Customer-facing solutions role architecting AI deployments; fit if leaning customer-workflow over deep coding.,https://jobs.ashbyhq.com/decagon/63dd8fb8-8c5b-44e4-8371-5ad453b56eb8
Decagon,Associate Solutions Engineer,forward-deployed,San Francisco / New York,onsite,Multiple,Associate,,likely-live,Entry/mid customer-facing solutions role; lighter-technical than FDE.,https://jobs.ashbyhq.com/decagon/60f9082c-5ab9-49ef-8731-c86707b45dfa
Decagon,"Forward Deployed Engineer, Agent Builder",forward-deployed,"New York, NY",onsite,New York,Mid-Senior,$175K-$230K,uncertain,"Named FDE role but explicitly a highly technical implementation/delivery role — coding-heavy, caution for non-SWE profile. (URL is Decagon Ashby; confirm exact posting.)",https://jobs.ashbyhq.com/decagon/f45c6d16-7a06-4a3f-ade7-c915698aba75
Distyl AI,"AI Operator, Implementation Delivery",delivery-program,San Francisco / New York (hybrid 3d),hybrid,Multiple,Senior,$140K-$200K,likely-live,Owns end-to-end delivery on complex enterprise programs; explicitly targets Chiefs of Staff/COO/Delivery Managers — excellent program/ops fit. Travel-heavy.,https://jobs.ashbyhq.com/Distyl/966ec457-55c4-44a2-a4c4-803fcbba6cc5
Distyl AI,AI Operator - Research Programs,delivery-program,San Francisco / New York (hybrid),hybrid,Multiple,Mid-Senior,,likely-live,Delivery/ops role on research programs; aligns with research + program-management combination.,https://jobs.ashbyhq.com/Distyl/f726c016-a0b4-404a-9b83-8615cf141689
Cresta,"Forward Deployed Product Manager, AI Agent",forward-deployed,United States (Remote),remote,Remote,Senior,$150K-$190K + bonus/equity (OTE up to ~$280K),likely-live,Create/deploy/optimize AI agents across full customer lifecycle; wants consulting/implementation/product/CS background with LLM products — very strong fit.,https://job-boards.greenhouse.io/cresta/jobs/4738837008
Cresta,Associate Forward Deployed Product Manager,forward-deployed,United States (Remote),remote,Remote,Associate,,likely-live,Drives AI-agent deployments pre-sales through post-launch optimization; mid-level forward-deployed fit.,https://job-boards.greenhouse.io/cresta/jobs/4992510008
Cresta,Forward Deployed Product Manager - AI Agent (EMEA),forward-deployed,EMEA (Remote),remote,Remote,Senior,,likely-live,"First EMEA forward-deployed PM; same deploy/optimize AI-agent mandate, EMEA-based.",https://job-boards.greenhouse.io/cresta/jobs/5068157008
Cresta,"AI Deployment Manager, EMEA",delivery-program,EMEA,unknown,Remote,Mid-Senior,,uncertain,Deployment/delivery role surfaced in search but no direct posting URL captured; verify on Cresta Greenhouse board.,
Glean,Forward Deployed Product Manager,forward-deployed,Remote or in-person; 25-50% travel,remote,Remote,Senior / Founding IC,"$170,000-$280,000 + equity",likely-live,"Founding FDPM acts as mini-GM of customer portfolio; blends product, strategy, discovery, roadmap influence - strong match for PM + customer-discovery profile, no heavy coding required.",https://job-boards.greenhouse.io/gleanwork/jobs/4659409005
Glean,"Product Manager, Enterprise Intelligence",product,"Not specified (Glean HQ Palo Alto, CA)",unknown,Palo Alto,Mid-Senior IC,,likely-live,Core PM role on enterprise intelligence surface; fits product management + customer-needs discovery profile.,https://job-boards.greenhouse.io/gleanwork/jobs/4702369005
Glean,Solutions Architect (Enterprise & Strategic),forward-deployed,US (multiple; some remote-preferred),unknown,Multiple,Senior IC,,likely-live,"Post-sale technical advisor owning integration/deployment for top accounts - AI Solutions Architect family; light-coding, customer-workflow-heavy.",https://job-boards.greenhouse.io/gleanwork/jobs/4508312005
Writer,AI Deployment Engineer (East),forward-deployed,Remote - US East,remote,Remote,Mid-Senior IC,,likely-live,Partners with enterprise customers to deploy tailored AI solutions and drive adoption - deployment/customer-workflow role; some technical config but customer-facing focus.,https://jobs.ashbyhq.com/WRITER/e86dd425-0711-4a28-af87-355f4a83b7bc
